N,p,q
191342,3,191339
191344,3,191341
191346,5,191341
191348,7,191341
191350,11,191339
191352,11,191341
191354,13,191341
191356,3,191353
191358,5,191353
191360,7,191353
191362,23,191339
191364,11,191353
191366,13,191353
191368,29,191339
191370,17,191353
191372,19,191353
191374,137,191237
191376,23,191353
191378,37,191341
191380,41,191339
191382,29,191353
191384,31,191353
191386,47,191339
191388,47,191341
191390,37,191353
191392,53,191339
191394,41,191353
191396,43,191353
191398,59,191339
191400,47,191353
191402,61,191341
191404,107,191297
191406,53,191353
191408,67,191341
191410,71,191339
191412,59,191353
191414,61,191353
191416,3,191413
191418,5,191413
191420,7,191413
191422,83,191339
191424,11,191413
191426,13,191413
191428,89,191339
191430,17,191413
191432,19,191413
191434,137,191297
191436,23,191413
191438,97,191341
191440,101,191339
191442,29,191413
191444,3,191441
191446,5,191441
191448,7,191441
191450,3,191447
191452,3,191449
191454,5,191449
191456,3,191453
191458,5,191453
191460,7,191453
191462,3,191459
191464,3,191461
191466,5,191461
191468,7,191461
191470,3,191467
191472,5,191467
191474,7,191467
191476,3,191473
191478,5,191473
191480,7,191473
191482,23,191459
191484,11,191473
191486,13,191473
191488,29,191459
191490,17,191473
191492,19,191473
191494,3,191491
191496,5,191491
191498,7,191491
191500,3,191497
191502,5,191497
191504,7,191497
191506,47,191459
191508,11,191497
191510,3,191507
191512,3,191509
191514,5,191509
191516,7,191509
191518,11,191507
191520,11,191509
191522,3,191519
191524,5,191519
191526,7,191519
191528,19,191509
191530,11,191519
191532,13,191519
191534,3,191531
191536,3,191533
191538,5,191533
191540,3,191537
191542,5,191537
191544,7,191537
191546,13,191533
191548,11,191537
191550,13,191537
191552,19,191533
191554,3,191551
191556,5,191551
191558,7,191551
191560,23,191537
191562,11,191551
191564,3,191561
191566,3,191563
191568,5,191563
191570,7,191563
191572,11,191561
191574,11,191563
191576,13,191563
191578,17,191561
191580,17,191563
191582,3,191579
191584,5,191579
191586,7,191579
191588,37,191551
191590,11,191579
191592,13,191579
191594,31,191563
191596,17,191579
191598,19,191579
191600,37,191563
191602,3,191599
191604,5,191599
191606,7,191599
191608,29,191579
191610,11,191599
191612,13,191599
191614,53,191561
191616,17,191599
191618,19,191599
191620,41,191579
191622,23,191599
191624,3,191621
191626,5,191621
191628,7,191621
191630,3,191627
191632,5,191627
191634,7,191627
191636,37,191599
191638,11,191627
191640,13,191627
191642,43,191599
191644,17,191627
191646,19,191627
191648,97,191551
191650,23,191627
191652,31,191621
191654,103,191551
191656,29,191627
191658,31,191627
191660,3,191657
191662,5,191657
191664,7,191657
191666,67,191599
191668,11,191657
191670,13,191657
191672,3,191669
191674,3,191671
191676,5,191671
191678,7,191671
191680,3,191677
191682,5,191677
191684,7,191677
191686,17,191669
191688,11,191677
191690,13,191677
191692,3,191689
191694,5,191689
191696,3,191693
191698,5,191693
191700,7,191693
191702,3,191699
191704,5,191699
191706,7,191699
191708,19,191689
191710,3,191707
191712,5,191707
191714,7,191707
191716,17,191699
191718,11,191707
191720,3,191717
191722,5,191717
191724,7,191717
191726,19,191707
191728,11,191717
191730,13,191717
191732,43,191689
191734,17,191717
191736,19,191717
191738,31,191707
191740,23,191717
191742,43,191699
191744,37,191707
191746,29,191717
191748,31,191717
191750,3,191747
191752,3,191749
191754,5,191749
191756,7,191749
191758,11,191747
191760,11,191749
191762,13,191749
191764,17,191747
191766,17,191749
191768,19,191749
191770,23,191747
191772,23,191749
191774,67,191707
191776,3,191773
191778,5,191773
191780,7,191773
191782,83,191699
191784,11,191773
191786,3,191783
191788,5,191783
191790,7,191783
191792,19,191773
191794,3,191791
191796,5,191791
191798,7,191791
191800,17,191783
191802,11,191791
191804,3,191801
191806,3,191803
191808,5,191803
191810,7,191803
191812,11,191801
191814,11,191803
191816,13,191803
191818,17,191801
191820,17,191803
191822,19,191803
191824,23,191801
191826,23,191803
191828,37,191791
191830,3,191827
191832,5,191827
191834,3,191831
191836,3,191833
191838,5,191833
191840,3,191837
191842,5,191837
191844,7,191837
191846,13,191833
191848,11,191837
191850,13,191837
191852,19,191833
191854,17,191837
191856,19,191837
191858,31,191827
191860,23,191837
191862,29,191833
191864,3,191861
191866,5,191861
191868,7,191861
191870,37,191833
191872,11,191861
191874,13,191861
191876,43,191833
191878,17,191861
191880,19,191861
191882,79,191803
191884,23,191861
191886,53,191833
191888,61,191827
191890,29,191861
191892,31,191861
191894,61,191833
191896,59,191837
191898,37,191861
191900,67,191833
191902,3,191899
191904,5,191899
191906,3,191903
191908,5,191903
191910,7,191903
191912,13,191899
191914,3,191911
191916,5,191911
191918,7,191911
191920,17,191903
191922,11,191911
191924,13,191911
191926,23,191903
191928,17,191911
191930,19,191911
191932,3,191929
191934,5,191929
191936,7,191929
191938,101,191837
191940,11,191929
191942,13,191929
191944,41,191903
191946,17,191929
191948,19,191929
191950,47,191903
191952,23,191929
191954,43,191911
191956,3,191953
191958,5,191953
191960,7,191953
191962,59,191903
191964,11,191953
191966,13,191953
191968,107,191861
191970,17,191953
191972,3,191969
191974,5,191969
191976,7,191969
191978,67,191911
191980,3,191977
191982,5,191977
191984,7,191977
191986,17,191969
191988,11,191977
191990,13,191977
191992,23,191969
191994,17,191977
191996,19,191977
191998,29,191969
192000,23,191977
192002,3,191999
192004,5,191999
192006,7,191999
192008,31,191977
192010,3,192007
192012,5,192007
192014,7,192007
192016,3,192013
192018,5,192013
192020,7,192013
192022,23,191999
192024,11,192013
192026,13,192013
192028,29,191999
192030,17,192013
192032,3,192029
192034,5,192029
192036,7,192029
192038,31,192007
192040,3,192037
192042,5,192037
192044,7,192037
192046,3,192043
192048,5,192043
192050,3,192047
192052,5,192047
192054,7,192047
192056,3,192053
192058,5,192053
192060,7,192053
192062,19,192043
192064,11,192053
192066,13,192053
192068,31,192037
192070,17,192053
192072,19,192053
192074,31,192043
192076,23,192053
192078,31,192047
192080,37,192043
192082,29,192053
192084,31,192053
192086,43,192043
192088,41,192047
192090,37,192053
192092,79,192013
192094,3,192091
192096,5,192091
192098,7,192091
192100,3,192097
192102,5,192097
192104,7,192097
192106,3,192103
192108,5,192103
192110,7,192103
192112,59,192053
192114,11,192103
192116,3,192113
192118,5,192113
192120,7,192113
192122,19,192103
192124,3,192121
192126,5,192121
192128,7,192121
192130,17,192113
192132,11,192121
192134,13,192121
192136,3,192133
192138,5,192133
192140,7,192133
192142,29,192113
192144,11,192133
192146,13,192133
192148,101,192047
192150,17,192133
192152,3,192149
192154,5,192149
192156,7,192149
192158,37,192121
192160,11,192149
192162,13,192149
192164,3,192161
192166,5,192161
192168,7,192161
192170,37,192133
192172,11,192161
192174,13,192161
192176,3,192173
192178,5,192173
192180,7,192173
192182,61,192121
192184,11,192173
192186,13,192173
192188,67,192121
192190,3,192187
192192,5,192187
192194,3,192191
192196,3,192193
192198,5,192193
192200,7,192193
192202,11,192191
192204,11,192193
192206,13,192193
192208,17,192191
192210,17,192193
192212,19,192193
192214,23,192191
192216,23,192193
192218,31,192187
192220,29,192191
192222,29,192193
192224,31,192193
192226,53,192173
192228,37,192191
192230,37,192193
192232,3,192229
192234,5,192229
192236,3,192233
192238,5,192233
192240,7,192233
192242,3,192239
192244,5,192239
192246,7,192239
192248,19,192229
192250,11,192239
192252,13,192239
192254,3,192251
192256,5,192251
192258,7,192251
192260,31,192229
192262,3,192259
192264,5,192259
192266,3,192263
192268,5,192263
192270,7,192263
192272,13,192259
192274,3,192271
192276,5,192271
192278,7,192271
192280,17,192263
192282,11,192271
192284,13,192271
192286,23,192263
192288,17,192271
192290,19,192271
192292,29,192263
192294,23,192271
192296,37,192259
192298,47,192251
192300,29,192271
192302,31,192271
192304,41,192263
192306,43,192263
192308,37,192271
192310,3,192307
192312,5,192307
192314,7,192307
192316,53,192263
192318,11,192307
192320,3,192317
192322,3,192319
192324,5,192319
192326,3,192323
192328,5,192323
192330,7,192323
192332,13,192319
192334,11,192323
192336,13,192323
192338,19,192319
192340,17,192323
192342,19,192323
192344,3,192341
192346,3,192343
192348,5,192343
192350,3,192347
192352,5,192347
192354,7,192347
192356,13,192343
192358,11,192347
192360,13,192347
192362,19,192343
192364,17,192347
192366,19,192347
192368,61,192307
192370,23,192347
192372,29,192343
192374,31,192343
192376,3,192373
192378,5,192373
192380,3,192377
192382,5,192377
192384,7,192377
192386,3,192383
192388,5,192383
192390,7,192383
192392,19,192373
192394,3,192391
192396,5,192391
192398,7,192391
192400,17,192383
192402,11,192391
192404,13,192391
192406,23,192383
192408,17,192391
192410,3,192407
192412,5,192407
192414,7,192407
192416,43,192373
192418,11,192407
192420,13,192407
192422,31,192391
192424,17,192407
192426,19,192407
192428,37,192391
192430,23,192407
192432,41,192391
192434,3,192431
192436,5,192431
192438,7,192431
192440,67,192373
192442,11,192431
192444,13,192431
192446,73,192373
192448,17,192431
192450,19,192431
192452,61,192391
192454,23,192431
192456,73,192383
192458,67,192391
192460,29,192431
192462,31,192431
192464,3,192461
192466,3,192463
192468,5,192463
192470,7,192463
192472,11,192461
192474,11,192463
192476,13,192463
192478,17,192461
192480,17,192463
192482,19,192463
192484,23,192461
192486,23,192463
192488,97,192391
192490,29,192461
192492,29,192463
192494,31,192463
192496,89,192407
192498,37,192461
192500,3,192497
192502,3,192499
192504,5,192499
192506,7,192499
192508,11,192497
192510,11,192499
192512,13,192499
192514,17,192497
192516,17,192499
192518,19,192499
192520,23,192497
192522,23,192499
192524,61,192463
192526,29,192497
192528,29,192499
192530,31,192499
192532,3,192529
192534,5,192529
192536,7,192529
192538,41,192497
192540,11,192529
192542,3,192539
192544,5,192539
192546,7,192539
192548,19,192529
192550,3,192547
192552,5,192547
192554,7,192547
192556,3,192553
192558,5,192553
192560,3,192557
192562,5,192557
192564,7,192557
192566,13,192553
192568,11,192557
192570,13,192557
192572,19,192553
192574,3,192571
192576,5,192571
192578,7,192571
192580,23,192557
192582,11,192571
192584,3,192581
192586,3,192583
192588,5,192583
192590,3,192587
192592,5,192587
192594,7,192587
192596,13,192583
192598,11,192587
192600,13,192587
192602,19,192583
192604,3,192601
192606,5,192601
192608,7,192601
192610,23,192587
192612,11,192601
192614,3,192611
192616,3,192613
192618,5,192613
192620,3,192617
192622,5,192617
192624,7,192617
192626,13,192613
192628,11,192617
192630,13,192617
192632,3,192629
192634,3,192631
192636,5,192631
192638,7,192631
192640,3,192637
192642,5,192637
192644,7,192637
192646,17,192629
192648,11,192637
192650,13,192637
192652,23,192629
192654,17,192637
192656,19,192637
192658,29,192629
192660,23,192637
192662,31,192631
192664,47,192617
192666,29,192637
192668,31,192637
192670,3,192667
192672,5,192667
192674,7,192667
192676,47,192629
192678,11,192667
192680,3,192677
192682,5,192677
192684,7,192677
192686,19,192667
192688,11,192677
192690,13,192677
192692,61,192631
192694,17,192677
192696,19,192677
192698,31,192667
192700,3,192697
192702,5,192697
192704,7,192697
192706,29,192677
192708,11,192697
192710,13,192697
192712,83,192629
192714,17,192697
192716,19,192697
192718,41,192677
192720,23,192697
192722,109,192613
192724,47,192677
192726,29,192697
192728,31,192697
192730,53,192677
192732,101,192631
192734,37,192697
192736,59,192677
192738,41,192697
192740,3,192737
192742,5,192737
192744,7,192737
192746,3,192743
192748,5,192743
192750,7,192743
192752,3,192749
192754,5,192749
192756,7,192749
192758,61,192697
192760,3,192757
192762,5,192757
192764,7,192757
192766,17,192749
192768,11,192757
192770,3,192767
192772,5,192767
192774,7,192767
192776,19,192757
192778,11,192767
192780,13,192767
192782,151,192631
192784,3,192781
192786,5,192781
192788,7,192781
192790,23,192767
192792,11,192781
192794,3,192791
192796,5,192791
192798,7,192791
192800,19,192781
192802,3,192799
192804,5,192799
192806,7,192799
192808,17,192791
192810,11,192799
192812,13,192799
192814,3,192811
192816,5,192811
192818,7,192811
192820,3,192817
192822,5,192817
192824,7,192817
192826,59,192767
192828,11,192817
192830,13,192817
192832,41,192791
192834,17,192817
192836,3,192833
192838,5,192833
192840,7,192833
192842,31,192811
192844,11,192833
192846,13,192833
192848,31,192817
192850,3,192847
192852,5,192847
192854,7,192847
192856,3,192853
192858,5,192853
192860,7,192853
192862,3,192859
192864,5,192859
192866,7,192859
192868,101,192767
192870,11,192859
192872,13,192859
192874,41,192833
192876,17,192859
192878,19,192859
192880,3,192877
192882,5,192877
192884,7,192877
192886,3,192883
192888,5,192883
192890,3,192887
192892,3,192889
192894,5,192889
192896,7,192889
192898,11,192887
192900,11,192889
192902,13,192889
192904,17,192887
192906,17,192889
192908,19,192889
192910,23,192887
192912,23,192889
192914,31,192883
192916,29,192887
192918,29,192889
192920,3,192917
192922,5,192917
192924,7,192917
192926,3,192923
192928,5,192923
192930,7,192923
192932,43,192889
192934,3,192931
192936,5,192931
192938,7,192931
192940,17,192923
192942,11,192931
192944,13,192931
192946,23,192923
192948,17,192931
192950,19,192931
192952,3,192949
192954,5,192949
192956,7,192949
192958,41,192917
192960,11,192949
192962,13,192949
192964,3,192961
192966,5,192961
192968,7,192961
192970,47,192923
192972,11,192961
192974,3,192971
192976,5,192971
192978,7,192971
192980,3,192977
192982,3,192979
192984,5,192979
192986,7,192979
192988,11,192977
192990,11,192979
192992,13,192979
192994,3,192991
192996,5,192991
192998,7,192991
193000,23,192977
193002,11,192991
193004,13,192991
193006,3,193003
193008,5,193003
193010,7,193003
193012,3,193009
193014,5,193009
193016,3,193013
193018,5,193013
193020,7,193013
193022,13,193009
193024,11,193013
193026,13,193013
193028,19,193009
193030,17,193013
193032,19,193013
193034,3,193031
193036,5,193031
193038,7,193031
193040,31,193009
193042,11,193031
193044,13,193031
193046,3,193043
193048,5,193043
193050,7,193043
193052,43,193009
193054,3,193051
193056,5,193051
193058,7,193051
193060,3,193057
193062,5,193057
193064,7,193057
193066,23,193043
193068,11,193057
193070,13,193057
193072,29,193043
193074,17,193057
193076,3,193073
193078,5,193073
193080,7,193073
193082,31,193051
193084,11,193073
193086,13,193073
193088,31,193057
193090,17,193073
193092,19,193073
193094,37,193057
193096,3,193093
193098,5,193093
193100,7,193093
193102,29,193073
193104,11,193093
193106,13,193093
193108,131,192977
193110,17,193093
193112,19,193093
193114,41,193073
193116,23,193093
193118,61,193057
193120,47,193073
193122,29,193093
193124,31,193093
193126,53,193073
193128,71,193057
193130,37,193093
193132,59,193073
193134,41,193093
193136,3,193133
193138,5,193133
193140,7,193133
193142,3,193139
193144,5,193139
193146,7,193139
193148,97,193051
193150,3,193147
193152,5,193147
193154,7,193147
193156,3,193153
193158,5,193153
193160,7,193153
193162,23,193139
193164,11,193153
193166,3,193163
193168,5,193163
193170,7,193163
193172,19,193153
193174,11,193163
193176,13,193163
193178,31,193147
193180,17,193163
193182,19,193163
193184,3,193181
193186,3,193183
193188,5,193183
193190,7,193183
193192,3,193189
193194,5,193189
193196,7,193189
193198,17,193181
193200,11,193189
193202,13,193189
193204,3,193201
193206,5,193201
193208,7,193201
193210,29,193181
193212,11,193201
193214,13,193201
193216,53,193163
193218,17,193201
193220,19,193201
193222,41,193181
193224,23,193201
193226,37,193189
193228,47,193181
193230,29,193201
193232,31,193201
193234,53,193181
193236,47,193189
193238,37,193201
193240,59,193181
193242,41,193201
193244,43,193201
193246,3,193243
193248,5,193243
193250,3,193247
193252,5,193247
193254,7,193247
193256,13,193243
193258,11,193247
193260,13,193247
193262,19,193243
193264,3,193261
193266,5,193261
193268,7,193261
193270,23,193247
193272,11,193261
193274,13,193261
193276,29,193247
193278,17,193261
193280,19,193261
193282,101,193181
193284,23,193261
193286,3,193283
193288,5,193283
193290,7,193283
193292,31,193261
193294,11,193283
193296,13,193283
193298,37,193261
193300,17,193283
193302,19,193283
193304,3,193301
193306,5,193301
193308,7,193301
193310,67,193243
193312,11,193301
193314,13,193301
193316,73,193243
193318,17,193301
193320,19,193301
193322,61,193261
193324,23,193301
193326,43,193283
193328,67,193261
193330,3,193327
193332,5,193327
193334,7,193327
193336,53,193283
193338,11,193327
193340,3,193337
193342,5,193337
193344,7,193337
193346,19,193327
193348,11,193337
193350,13,193337
193352,109,193243
193354,17,193337
193356,19,193337
193358,31,193327
193360,3,193357
193362,5,193357
193364,7,193357
193366,29,193337
193368,11,193357
193370,3,193367
193372,5,193367
193374,7,193367
193376,3,193373
193378,5,193373
193380,7,193373
193382,3,193379
193384,3,193381
193386,5,193381
193388,7,193381
193390,3,193387
193392,5,193387
193394,7,193387
193396,3,193393
193398,5,193393
193400,7,193393
193402,23,193379
193404,11,193393
193406,13,193393
193408,29,193379
193410,17,193393
193412,19,193393
193414,41,193373
193416,23,193393
193418,31,193387
193420,41,193379
193422,29,193393
193424,31,193393
193426,3,193423
193428,5,193423
193430,7,193423
193432,53,193379
193434,11,193423
193436,3,193433
193438,5,193433
193440,7,193433
193442,19,193423
193444,3,193441
193446,5,193441
193448,7,193441
193450,3,193447
193452,5,193447
193454,3,193451
193456,5,193451
193458,7,193451
193460,13,193447
193462,11,193451
193464,13,193451
193466,3,193463
193468,5,193463
193470,7,193463
193472,3,193469
193474,5,193469
193476,7,193469
193478,31,193447
193480,11,193469
193482,13,193469
193484,37,193447
193486,17,193469
193488,19,193469
193490,43,193447
193492,23,193469
193494,31,193463
193496,3,193493
193498,5,193493
193500,7,193493
193502,61,193441
193504,11,193493
193506,13,193493
193508,61,193447
193510,3,193507
193512,5,193507
193514,7,193507
193516,3,193513
193518,5,193513
193520,7,193513
193522,29,193493
193524,11,193513
193526,13,193513
193528,59,193469
193530,17,193513
193532,19,193513
193534,41,193493
193536,23,193513
193538,31,193507
193540,47,193493
193542,29,193513
193544,3,193541
193546,5,193541
193548,7,193541
193550,37,193513
193552,3,193549
193554,5,193549
193556,7,193549
193558,17,193541
193560,11,193549
193562,3,193559
193564,5,193559
193566,7,193559
193568,19,193549
193570,11,193559
193572,13,193559
193574,61,193513
193576,3,193573
193578,5,193573
193580,3,193577
193582,5,193577
193584,7,193577
193586,13,193573
193588,11,193577
193590,13,193577
193592,19,193573
193594,17,193577
193596,19,193577
193598,151,193447
193600,3,193597
193602,5,193597
193604,3,193601
193606,3,193603
193608,5,193603
193610,3,193607
193612,5,193607
193614,7,193607
193616,13,193603
193618,11,193607
193620,13,193607
193622,3,193619
193624,5,193619
193626,7,193619
193628,31,193597
193630,11,193619
193632,13,193619
193634,31,193603
193636,17,193619
193638,19,193619
193640,37,193603
193642,23,193619
193644,37,193607
193646,43,193603
193648,29,193619
193650,31,193619
193652,3,193649
193654,5,193649
193656,7,193649
193658,61,193597
193660,11,193649
193662,13,193649
193664,61,193603
193666,3,193663
193668,5,193663
193670,7,193663
193672,23,193649
193674,11,193663
193676,13,193663
193678,29,193649
193680,17,193663
193682,3,193679
193684,5,193679
193686,7,193679
193688,139,193549
193690,11,193679
193692,13,193679
193694,31,193663
193696,17,193679
193698,19,193679
193700,37,193663
193702,23,193679
193704,41,193663
193706,3,193703
193708,5,193703
193710,7,193703
193712,109,193603
193714,11,193703
193716,13,193703
193718,211,193507
193720,17,193703
193722,19,193703
193724,61,193663
193726,3,193723
193728,5,193723
193730,3,193727
193732,5,193727
193734,7,193727
193736,13,193723
193738,11,193727
193740,13,193727
193742,19,193723
193744,3,193741
193746,5,193741
193748,7,193741
193750,23,193727
193752,11,193741
193754,3,193751
193756,5,193751
193758,7,193751
193760,3,193757
193762,5,193757
193764,7,193757
193766,3,193763
193768,5,193763
193770,7,193763
193772,31,193741
193774,3,193771
193776,5,193771
193778,7,193771
193780,17,193763
193782,11,193771
193784,13,193771
193786,23,193763
193788,17,193771
193790,19,193771
193792,3,193789
193794,5,193789
193796,3,193793
193798,5,193793
193800,7,193793
193802,3,193799
193804,5,193799
193806,7,193799
193808,19,193789
193810,11,193799
193812,13,193799
193814,3,193811
193816,3,193813
193818,5,193813
193820,7,193813
193822,11,193811
193824,11,193813
193826,13,193813
193828,17,193811
193830,17,193813
193832,19,193813
193834,23,193811
193836,23,193813
193838,67,193771
193840,29,193811
193842,29,193813
193844,3,193841
193846,5,193841
193848,7,193841
193850,3,193847
193852,5,193847
193854,7,193847
193856,43,193813
193858,11,193847
193860,13,193847
193862,3,193859
193864,3,193861
193866,5,193861
193868,7,193861
193870,11,193859
193872,11,193861
193874,3,193871
193876,3,193873
193878,5,193873
193880,3,193877
193882,5,193877
193884,7,193877
193886,3,193883
193888,5,193883
193890,7,193883
193892,19,193873
193894,3,193891
193896,5,193891
193898,7,193891
193900,17,193883
193902,11,193891
193904,13,193891
193906,23,193883
193908,17,193891
193910,19,193891
193912,29,193883
193914,23,193891
193916,43,193873
193918,41,193877
193920,29,193891
193922,31,193891
193924,41,193883
193926,43,193883
193928,37,193891
193930,47,193883
193932,41,193891
193934,43,193891
193936,53,193883
193938,47,193891
193940,3,193937
193942,3,193939
193944,5,193939
193946,3,193943
193948,5,193943
193950,7,193943
193952,13,193939
193954,3,193951
193956,5,193951
193958,7,193951
193960,3,193957
193962,5,193957
193964,7,193957
193966,23,193943
193968,11,193957
193970,13,193957
193972,29,193943
193974,17,193957
193976,19,193957
193978,41,193937
193980,23,193957
193982,3,193979
193984,5,193979
193986,7,193979
193988,31,193957
193990,11,193979
193992,13,193979
193994,37,193957
193996,3,193993
193998,5,193993
194000,7,193993
194002,23,193979
194004,11,193993
194006,3,194003
194008,5,194003
194010,7,194003
194012,19,193993
194014,11,194003
194016,13,194003
194018,61,193957
194020,3,194017
194022,5,194017
194024,7,194017
194026,23,194003
194028,11,194017
194030,3,194027
194032,5,194027
194034,7,194027
194036,19,194017
194038,11,194027
194040,13,194027
194042,103,193939
194044,17,194027
194046,19,194027
194048,31,194017
194050,23,194027
194052,59,193993
194054,37,194017
194056,29,194027
194058,31,194027
194060,3,194057
194062,5,194057
194064,7,194057
194066,73,193993
194068,11,194057
194070,13,194057
194072,3,194069
194074,3,194071
194076,5,194071
194078,7,194071
194080,11,194069
194082,11,194071
194084,13,194071
194086,3,194083
194088,5,194083
194090,3,194087
194092,5,194087
194094,7,194087
194096,3,194093
194098,5,194093
194100,7,194093
194102,19,194083
194104,3,194101
194106,5,194101
194108,7,194101
194110,17,194093
194112,11,194101
194114,13,194101
194116,3,194113
194118,5,194113
194120,7,194113
194122,3,194119
194124,5,194119
194126,7,194119
194128,41,194087
194130,11,194119
194132,13,194119
194134,41,194093
194136,17,194119
194138,19,194119
194140,47,194093
194142,23,194119
194144,3,194141
194146,5,194141
194148,7,194141
194150,31,194119
194152,3,194149
194154,5,194149
194156,7,194149
194158,17,194141
194160,11,194149
194162,13,194149
194164,23,194141
194166,17,194149
194168,19,194149
194170,3,194167
194172,5,194167
194174,7,194167
194176,83,194093
194178,11,194167
194180,13,194167
194182,3,194179
194184,5,194179
194186,7,194179
194188,47,194141
194190,11,194179
194192,13,194179
194194,53,194141
194196,17,194179
194198,19,194179
194200,3,194197
194202,5,194197
194204,7,194197
194206,3,194203
194208,5,194203
194210,7,194203
194212,71,194141
194214,11,194203
194216,13,194203
194218,131,194087
194220,17,194203
194222,19,194203
194224,83,194141
194226,23,194203
194228,31,194197
194230,89,194141
194232,29,194203
194234,31,194203
194236,149,194087
194238,41,194197
194240,37,194203
194242,3,194239
194244,5,194239
194246,7,194239
194248,107,194141
194250,11,194239
194252,13,194239
194254,113,194141
194256,17,194239
194258,19,194239
194260,167,194093
194262,23,194239
194264,61,194203
194266,3,194263
194268,5,194263
194270,3,194267
194272,3,194269
194274,5,194269
194276,7,194269
194278,11,194267
194280,11,194269
194282,13,194269
194284,17,194267
194286,17,194269
194288,19,194269
194290,23,194267
194292,23,194269
194294,31,194263
194296,29,194267
194298,29,194269
194300,31,194269
194302,233,194069
194304,37,194267
194306,37,194269
194308,41,194267
194310,41,194269
194312,3,194309
194314,5,194309
194316,7,194309
194318,79,194239
194320,11,194309
194322,13,194309
194324,61,194263
194326,3,194323
194328,5,194323
194330,7,194323
194332,23,194309
194334,11,194323
194336,13,194323
194338,29,194309
194340,17,194323
194342,19,194323
194344,251,194093
194346,23,194323
194348,79,194269
194350,41,194309
194352,29,194323
194354,31,194323
194356,3,194353
194358,5,194353
194360,7,194353
194362,53,194309
194364,11,194353
194366,13,194353
194368,59,194309
194370,17,194353
194372,19,194353
194374,3,194371
194376,5,194371
194378,7,194371
194380,3,194377
194382,5,194377
194384,7,194377
194386,293,194093
194388,11,194377
194390,13,194377
194392,83,194309
194394,17,194377
194396,19,194377
194398,89,194309
194400,23,194377
194402,31,194371
194404,137,194267
194406,29,194377
194408,31,194377
194410,101,194309
194412,41,194371
194414,37,194377
194416,3,194413
194418,5,194413
194420,7,194413
194422,113,194309
194424,11,194413
194426,13,194413
194428,359,194069
194430,17,194413
194432,19,194413
194434,3,194431
194436,5,194431
194438,7,194431
194440,131,194309
194442,11,194431
194444,13,194431
194446,3,194443
194448,5,194443
194450,7,194443
194452,311,194141
194454,11,194443
194456,13,194443
194458,149,194309
194460,17,194443
194462,19,194443
194464,197,194267
194466,23,194443
194468,37,194431
194470,383,194087
194472,29,194443
194474,3,194471
194476,5,194471
194478,7,194471
194480,37,194443
194482,3,194479
194484,5,194479
194486,3,194483
194488,5,194483
194490,7,194483
194492,13,194479
194494,11,194483
194496,13,194483
194498,19,194479
194500,17,194483
194502,19,194483
194504,61,194443
194506,23,194483
194508,29,194479
194510,3,194507
194512,5,194507
194514,7,194507
194516,37,194479
194518,11,194507
194520,13,194507
194522,43,194479
194524,3,194521
194526,5,194521
194528,7,194521
194530,3,194527
194532,5,194527
194534,7,194527
194536,29,194507
194538,11,194527
194540,13,194527
194542,59,194483
194544,17,194527
194546,3,194543
194548,5,194543
194550,7,194543
194552,31,194521
194554,11,194543
194556,13,194543
194558,31,194527
194560,17,194543
194562,19,194543
194564,37,194527
194566,23,194543
194568,41,194527
194570,43,194527
194572,3,194569
194574,5,194569
194576,7,194569
194578,71,194507
194580,11,194569
194582,13,194569
194584,3,194581
194586,5,194581
194588,7,194581
194590,47,194543
194592,11,194581
194594,3,194591
194596,5,194591
194598,7,194591
194600,19,194581
194602,11,194591
194604,13,194591
194606,37,194569
194608,17,194591
194610,19,194591
194612,3,194609
194614,5,194609
194616,7,194609
194618,37,194581
194620,11,194609
194622,13,194609
194624,43,194581
194626,17,194609
194628,19,194609
194630,61,194569
194632,23,194609
194634,43,194591
194636,67,194569
194638,29,194609
194640,31,194609
194642,61,194581
194644,53,194591
194646,37,194609
194648,67,194581
194650,3,194647
194652,5,194647
194654,7,194647
194656,3,194653
194658,5,194653
194660,7,194653
194662,3,194659
194664,5,194659
194666,7,194659
194668,59,194609
194670,11,194659
194672,13,194659
194674,3,194671
194676,5,194671
194678,7,194671
194680,71,194609
194682,11,194671
194684,3,194681
194686,3,194683
194688,5,194683
194690,3,194687
194692,5,194687
194694,7,194687
194696,13,194683
194698,11,194687
194700,13,194687
194702,19,194683
194704,17,194687
194706,19,194687
194708,37,194671
194710,3,194707
194712,5,194707
194714,7,194707
194716,3,194713
194718,5,194713
194720,3,194717
194722,5,194717
194724,7,194717
194726,3,194723
194728,5,194723
194730,7,194723
194732,3,194729
194734,5,194729
194736,7,194729
194738,31,194707
194740,11,194729
194742,13,194729
194744,31,194713
194746,17,194729
194748,19,194729
194750,37,194713
194752,3,194749
194754,5,194749
194756,7,194749
194758,29,194729
194760,11,194749
194762,13,194749
194764,41,194723
194766,17,194749
194768,19,194749
194770,3,194767
194772,5,194767
194774,3,194771
194776,5,194771
194778,7,194771
194780,13,194767
194782,11,194771
194784,13,194771
194786,19,194767
194788,17,194771
194790,19,194771
194792,43,194749
194794,23,194771
194796,29,194767
194798,31,194767
194800,29,194771
194802,31,194771
194804,37,194767
194806,83,194723
194808,37,194771
194810,43,194767
194812,3,194809
194814,5,194809
194816,3,194813
194818,5,194813
194820,7,194813
194822,3,194819
194824,5,194819
194826,7,194819
194828,19,194809
194830,3,194827
194832,5,194827
194834,7,194827
194836,17,194819
194838,11,194827
