N,sigma_trunc_Q0,sigma_model
1001196,3.310577997636989,0.0020689124710480122
1001198,1.5653628191798803,0.000978257772699439
1001200,1.76121555492093,0.0011006539729257294
1001202,2.6406469021995114,0.0016502457611614707
1001204,1.3203238032220197,0.0008251231006360079
1001206,1.3203238032220197,0.0008251231006360079
1001208,2.8816128874045726,0.0018008350335619295
1001210,2.1126524215712466,0.0013202809132116427
1001212,1.3528168641276852,0.0008454293127168704
1001214,2.640700842541336,0.001650279470636364
1001216,1.3206844382002783,0.0008253484758437655
1001218,1.3259698695624234,0.0008286515530912477
1001220,4.127251142919388,0.0025792841512352104
1001222,1.3278157737502108,0.0008298051323747442
1001224,1.6794035356696921,0.0010495263731436608
1001226,2.6406469021995114,0.0016502457611614707
1001228,1.3203238032220197,0.0008251231006360079
